epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10872.9,0.83321,0.65423,1.03744,0.86734,0.482,0.52463,0.3867,1.00064,0.8696,1.18078,0.000424187,0.000424187,0.000424187
43,11104.8,0.86981,0.67302,1.0527,0.87751,0.50193,0.53197,0.38904,0.97613,0.81851,1.14828,0.000417119,0.000417119,0.000417119
44,11311.6,0.84138,0.67169,1.03746,0.64637,0.53814,0.53876,0.39704,0.99294,0.7951,1.16652,0.00041005,0.00041005,0.00041005
45,11516.1,0.81493,0.63934,1.01977,0.86998,0.50663,0.53265,0.39135,0.98518,0.78452,1.14985,0.000402982,0.000402982,0.000402982
46,11745,0.78972,0.63051,1.02676,0.8174,0.55606,0.53788,0.39177,0.97671,0.77509,1.16199,0.000395913,0.000395913,0.000395913
47,11942.9,0.82411,0.64641,1.03811,0.87161,0.50323,0.53665,0.38781,0.98817,0.79688,1.15297,0.000388844,0.000388844,0.000388844
48,12151.1,0.8363,0.64895,1.02931,0.84189,0.52698,0.55399,0.4072,0.97577,0.77088,1.14442,0.000381776,0.000381776,0.000381776
49,12367.4,0.8065,0.63027,1.03649,0.904,0.51586,0.55212,0.40766,0.99365,0.79194,1.15832,0.000374707,0.000374707,0.000374707
50,12585.3,0.80234,0.62451,1.03491,0.8753,0.49914,0.53504,0.39487,0.98162,0.77367,1.14061,0.000367639,0.000367639,0.000367639
51,12806.4,0.80203,0.62171,1.01703,0.87333,0.54908,0.55889,0.40382,0.96744,0.74876,1.13121,0.00036057,0.00036057,0.00036057
52,13022.6,0.806,0.6093,1.01572,0.89889,0.53735,0.55586,0.39896,0.96996,0.78345,1.13355,0.000353501,0.000353501,0.000353501
53,13226.5,0.82887,0.62256,1.03187,0.90002,0.53869,0.56254,0.41302,0.94785,0.75591,1.11762,0.000346433,0.000346433,0.000346433
54,13435.2,0.7841,0.6019,1.02314,0.85828,0.54577,0.58998,0.41448,0.97807,0.7534,1.14855,0.000339364,0.000339364,0.000339364
55,13628.3,0.77753,0.59333,1.00786,0.72643,0.55917,0.55974,0.39658,0.96377,0.7576,1.15648,0.000332296,0.000332296,0.000332296
56,13841.6,0.83075,0.59912,1.02085,0.88666,0.54073,0.55628,0.39701,0.99907,0.74692,1.16836,0.000325227,0.000325227,0.000325227
57,14045.6,0.78321,0.58817,1.01205,0.728,0.54593,0.55293,0.40435,0.97665,0.75246,1.15271,0.000318158,0.000318158,0.000318158
58,14254.5,0.7701,0.56148,1.00577,0.87535,0.50899,0.53733,0.39197,0.98634,0.76516,1.15231,0.00031109,0.00031109,0.00031109
59,14490.6,0.77348,0.56834,1.00262,0.87208,0.51176,0.53953,0.39132,0.96557,0.73469,1.12762,0.000304021,0.000304021,0.000304021
60,14747,0.77944,0.55966,1.01142,0.88492,0.5456,0.58885,0.41917,0.96667,0.73634,1.12916,0.000296953,0.000296953,0.000296953
61,14959.9,0.77876,0.56424,1.00004,0.76741,0.5981,0.59224,0.41838,0.95759,0.71202,1.13047,0.000289884,0.000289884,0.000289884
62,15167.3,0.77023,0.5583,1.00132,0.75165,0.58209,0.56319,0.39947,0.97434,0.73665,1.14749,0.000282815,0.000282815,0.000282815
63,15374.3,0.77254,0.56506,1.00729,0.76186,0.59674,0.57513,0.40848,0.97251,0.72181,1.15356,0.000275747,0.000275747,0.000275747
64,15622.4,0.75842,0.55963,0.99254,0.73969,0.59533,0.57093,0.41184,0.95766,0.72566,1.13875,0.000268678,0.000268678,0.000268678
65,15841,0.76405,0.55287,0.99132,0.86738,0.51954,0.5639,0.4012,0.96808,0.73984,1.14776,0.00026161,0.00026161,0.00026161
66,16074.9,0.76093,0.55577,0.99735,0.87535,0.55456,0.59238,0.41704,0.97923,0.72776,1.14671,0.000254541,0.000254541,0.000254541
