epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,98.0886,1.83459,3.72713,1.7233,0.00349,0.08333,0.0054,0.00118,2.3655,4.45654,2.37619,9.87288e-05,9.87288e-05,9.87288e-05
21,102.236,1.83876,3.83515,1.83519,0.00308,0.08333,0.00278,0.00116,2.24795,4.40655,2.32601,0.000100626,0.000100626,0.000100626
22,106.392,1.81059,3.74898,1.78086,0.00308,0.08333,0.00278,0.00116,2.24795,4.40655,2.32601,0.000102194,0.000102194,0.000102194
23,110.618,1.83209,3.7549,1.7032,0.00321,0.08333,0.00242,0.00128,2.2483,4.40809,2.32825,0.000103432,0.000103432,0.000103432
24,114.611,1.55286,3.60105,1.56586,0.00321,0.08333,0.00242,0.00128,2.2483,4.40809,2.32825,0.00010434,0.00010434,0.00010434
25,118.57,1.73943,3.60487,1.70114,0.00344,0.20833,0.00424,0.00182,2.28477,4.38099,2.28129,0.000104918,0.000104918,0.000104918
26,122.603,1.65079,3.66167,1.75066,0.00344,0.20833,0.00424,0.00182,2.28477,4.38099,2.28129,0.000105166,0.000105166,0.000105166
27,126.636,1.73425,3.69245,1.76813,0.00528,0.25,0.05087,0.00676,2.26252,4.35822,2.27357,0.000105085,0.000105085,0.000105085
28,130.599,1.70754,3.62258,1.66191,0.00528,0.25,0.05087,0.00676,2.26252,4.35822,2.27357,0.000104673,0.000104673,0.000104673
29,134.838,1.46509,3.42508,1.5214,0.00484,0.25,0.05084,0.01151,2.22664,4.32028,2.26267,0.000103932,0.000103932,0.000103932
30,138.978,1.55088,3.47757,1.58585,0.00484,0.25,0.05084,0.01151,2.22664,4.32028,2.26267,0.000102861,0.000102861,0.000102861
31,143.441,1.66636,3.60968,1.76,0.00548,0.29167,0.08841,0.01594,2.2003,4.29584,2.21629,0.000101459,0.000101459,0.000101459
32,147.641,1.57696,3.55352,1.59671,0.00548,0.29167,0.08841,0.01594,2.2003,4.29584,2.21629,9.97284e-05,9.97284e-05,9.97284e-05
33,151.73,1.50936,3.41507,1.56562,0.00542,0.29167,0.07488,0.01474,2.17559,4.27388,2.18515,9.76676e-05,9.76676e-05,9.76676e-05
34,155.851,1.49298,3.43627,1.55377,0.00542,0.29167,0.07488,0.01474,2.17559,4.27388,2.18515,9.52769e-05,9.52769e-05,9.52769e-05
35,159.884,1.41059,3.4327,1.5574,0.00545,0.29167,0.07574,0.01591,2.14414,4.29414,2.14682,9.25563e-05,9.25563e-05,9.25563e-05
36,164.037,1.51452,3.54071,1.58369,0.00545,0.29167,0.07574,0.01591,2.14414,4.29414,2.14682,8.95059e-05,8.95059e-05,8.95059e-05
37,168.203,1.70875,3.52678,1.69478,0.00564,0.29167,0.07687,0.0163,2.09666,4.30069,2.11591,8.61255e-05,8.61255e-05,8.61255e-05
38,173.716,1.62591,3.43038,1.65726,0.00564,0.29167,0.07687,0.0163,2.09666,4.30069,2.11591,8.24154e-05,8.24154e-05,8.24154e-05
39,178.275,1.55084,3.40665,1.54523,0.00564,0.29167,0.06642,0.01598,2.06931,4.27625,2.06698,7.83753e-05,7.83753e-05,7.83753e-05
40,182.463,1.48515,3.35539,1.61051,0.00564,0.29167,0.06642,0.01598,2.06931,4.27625,2.06698,7.40054e-05,7.40054e-05,7.40054e-05
41,186.824,1.459,3.44374,1.58246,0.00558,0.29167,0.0668,0.01609,2.03665,4.2697,2.03,6.93056e-05,6.93056e-05,6.93056e-05
42,191.168,1.51359,3.30469,1.58905,0.00558,0.29167,0.0668,0.01609,2.03665,4.2697,2.03,6.42759e-05,6.42759e-05,6.42759e-05
43,196.728,1.53142,3.31479,1.43587,0.00539,0.29167,0.06566,0.01545,2.00169,4.25255,1.97098,5.89164e-05,5.89164e-05,5.89164e-05
44,201.618,1.58665,3.29383,1.6796,0.00539,0.29167,0.06566,0.01545,2.00169,4.25255,1.97098,5.3227e-05,5.3227e-05,5.3227e-05
45,207.557,1.4886,3.22726,1.6251,0.0089,0.41667,0.07011,0.01777,1.95119,4.27459,1.94471,4.72078e-05,4.72078e-05,4.72078e-05
46,211.944,1.39353,3.19088,1.60435,0.0089,0.41667,0.07011,0.01777,1.95119,4.27459,1.94471,4.08586e-05,4.08586e-05,4.08586e-05
47,216.127,1.51499,3.30979,1.65277,0.00853,0.41667,0.07135,0.01863,1.9409,4.27165,1.91528,3.41797e-05,3.41797e-05,3.41797e-05
48,220.191,1.4554,3.25407,1.56291,0.00853,0.41667,0.07135,0.01863,1.9409,4.27165,1.91528,2.71708e-05,2.71708e-05,2.71708e-05
49,224.514,1.40047,3.16373,1.53505,0.00816,0.41667,0.07161,0.01859,1.93214,4.27861,1.92224,1.98321e-05,1.98321e-05,1.98321e-05
50,228.7,1.43725,3.29867,1.60354,0.00816,0.41667,0.07161,0.01859,1.93214,4.27861,1.92224,1.21635e-05,1.21635e-05,1.21635e-05
