epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.4715,2.50692,4.08739,2.56947,0,0,0,0,2.65848,4.51115,2.69331,0,0,0
2,26.7185,2.54152,4.02748,2.56151,0,0,0,0,2.66058,4.5345,2.69789,8.16507e-06,8.16507e-06,8.16507e-06
3,30.4825,2.52009,4.04738,2.54052,0,0,0,0,2.68072,4.55258,2.70492,1.60003e-05,1.60003e-05,1.60003e-05
4,34.3743,2.42785,3.99018,2.50703,0,0,0,0,2.67959,4.55396,2.70162,2.35056e-05,2.35056e-05,2.35056e-05
5,38.3204,2.43084,3.99674,2.37716,0,0,0,0,2.61511,4.61203,2.6269,3.06811e-05,3.06811e-05,3.06811e-05
6,42.5029,2.29991,4.0589,2.36568,0.00126,0.04167,0.00155,0.00016,2.52776,4.61203,2.56239,3.75266e-05,3.75266e-05,3.75266e-05
7,46.6983,2.32809,4.00531,2.28517,0.00123,0.04167,0.00131,0.00013,2.58319,4.61617,2.54982,4.40424e-05,4.40424e-05,4.40424e-05
8,51.0721,2.15521,4.12823,2.31879,0.00123,0.04167,0.00113,0.00011,2.62706,4.57401,2.57228,5.02282e-05,5.02282e-05,5.02282e-05
9,56.1266,2.20789,4.07768,2.31433,0.00126,0.04167,0.00087,9e-05,2.57432,4.53381,2.56138,5.60842e-05,5.60842e-05,5.60842e-05
10,59.6733,1.94715,3.92373,2.15502,0.00128,0.04167,0.00079,0.00016,2.61887,4.53439,2.50636,6.16103e-05,6.16103e-05,6.16103e-05
11,63.2477,2.08996,3.88342,2.13391,0.00125,0.04167,0.00057,0.00011,2.60802,4.54202,2.47089,6.68066e-05,6.68066e-05,6.68066e-05
12,66.8037,1.90483,3.86239,1.95185,0.0013,0.04167,0.00045,0.00014,2.65564,4.57837,2.48508,7.1673e-05,7.1673e-05,7.1673e-05
13,70.4487,2.04057,4.06688,2.00924,0.0026,0.04167,0.00199,0.0002,2.56845,4.53952,2.44667,7.62095e-05,7.62095e-05,7.62095e-05
14,74.309,2.08872,3.90442,2.02606,0.00266,0.04167,0.00233,0.00023,2.46691,4.52776,2.39473,8.04162e-05,8.04162e-05,8.04162e-05
15,77.9387,1.94606,3.9149,1.90394,0.00378,0.08333,0.00298,0.0005,2.48893,4.50629,2.43902,8.42929e-05,8.42929e-05,8.42929e-05
16,81.6867,1.89859,3.75596,1.78896,0.00363,0.08333,0.00317,0.00046,2.42647,4.49033,2.41435,8.78398e-05,8.78398e-05,8.78398e-05
17,85.6575,1.87528,3.80923,1.89624,0.00351,0.08333,0.00396,0.00099,2.42218,4.47634,2.39833,9.10569e-05,9.10569e-05,9.10569e-05
18,89.8772,1.90614,3.79819,1.8075,0.00351,0.08333,0.00396,0.00099,2.42218,4.47634,2.39833,9.39441e-05,9.39441e-05,9.39441e-05
19,94.019,1.85806,3.78732,1.80986,0.00349,0.08333,0.0054,0.00118,2.3655,4.45654,2.37619,9.65014e-05,9.65014e-05,9.65014e-05
